Regressor,Method,k,n_rep,EC,EC_scalar_sd,EC_vec_sd,EC_median,EC_1%,EC_5%,EC_25%,EC_50%,EC_75%,EC_95%,EC_99%,EC_max,EC_min,MAE,MAE_sd,MSqE,MSqE_sd,R2,R2_sd
Lasso-H,intersection_union_sample,5.00,50.00,0.85,0.04,0.18,0.93,0.00,0.28,0.83,0.93,0.97,1.00,1.00,1.00,0.00,10.96,0.04,235.06,1.51,0.64,0.00
LinReg,ratio,5.00,50.00,0.86,0.03,0.15,0.93,0.09,0.40,0.83,0.93,0.97,1.00,1.00,1.00,0.00,10.94,0.04,235.54,1.57,0.64,0.00
Ridge-H,ratio,5.00,50.00,0.86,0.03,0.15,0.93,0.09,0.40,0.83,0.93,0.97,1.00,1.00,1.00,0.00,10.94,0.04,235.43,1.54,0.64,0.00
Lasso-H,ratio,5.00,50.00,0.87,0.03,0.15,0.93,0.10,0.41,0.84,0.93,0.97,1.00,1.00,1.00,0.00,10.96,0.04,235.06,1.51,0.64,0.00
LinReg,intersection_union_all,5.00,50.00,0.93,NA,0.02,0.93,0.89,0.90,0.92,0.93,0.94,0.95,1.00,1.00,0.89,10.94,0.04,235.54,1.57,0.64,0.00
Ridge-H,intersection_union_all,5.00,50.00,0.93,NA,0.02,0.93,0.89,0.90,0.92,0.93,0.94,0.95,1.00,1.00,0.89,10.94,0.04,235.43,1.54,0.64,0.00
Lasso-H,intersection_union_all,5.00,50.00,0.93,NA,0.02,0.93,0.88,0.90,0.92,0.93,0.94,0.96,1.00,1.00,0.87,10.96,0.04,235.06,1.51,0.64,0.00
RF-H,intersection_union_distance,5.00,50.00,2.58,0.45,0.90,2.02,0.00,0.09,0.89,2.02,3.64,6.98,10.38,26.10,0.00,13.66,0.10,316.24,4.43,0.52,0.01
Knn-H,intersection_union_distance,5.00,50.00,3.27,0.58,0.91,2.58,0.00,0.08,1.11,2.58,4.69,8.84,12.56,29.25,0.00,18.15,0.11,516.89,4.57,0.21,0.01
SVR-H,intersection_union_distance,5.00,50.00,3.70,0.94,1.56,2.82,0.00,0.12,1.23,2.82,5.15,10.30,15.93,53.80,0.00,12.47,0.17,272.55,7.00,0.58,0.01
